kingdom_final,phylum_final,class_final,order_final,family_final,scientificName,sci_name,syn_replace,assign_by_island,Eliminate
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon dendroideus,acmispon dendroideus,acmispon dendroideus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus dendroideus,acmispon dendroideus,acmispon dendroideus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon dendroideus var. dendroideus,acmispon dendroideus,acmispon dendroideus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus dendroideus dendroideus,acmispon dendroideus,acmispon dendroideus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus dendroideus var. dendroideus,acmispon dendroideus,acmispon dendroideus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus scoparius var. dendroideus,acmispon dendroideus,acmispon dendroideus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon dendroideus var. traskiae,acmispon dendroideus,acmispon dendroideus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus dendroideus var. traskiae,acmispon dendroideus,acmispon dendroideus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus scoparius subsp. traskiae,acmispon dendroideus,acmispon dendroideus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon dendroideus var. veatchii,acmispon dendroideus,acmispon dendroideus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus dendroideus var. veatchii,acmispon dendroideus,acmispon dendroideus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus scoparius var. veatchii,acmispon dendroideus,acmispon dendroideus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,camissonia cheiranthifolia,camissoniopsis cheiranthifolia,camissoniopsis cheiranthifolia,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,camissoniopsis cheiranthifolia,camissoniopsis cheiranthifolia,camissoniopsis cheiranthifolia,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,camissonia cheiranthifolia subsp. cheiranthifolia,camissoniopsis cheiranthifolia,camissoniopsis cheiranthifolia,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,camissoniopsis cheiranthifolia subsp. cheiranthifolia,camissoniopsis cheiranthifolia,camissoniopsis cheiranthifolia,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,camissonia cheiranthifolia subsp. suffruticosa,camissoniopsis cheiranthifolia,camissoniopsis cheiranthifolia,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,camissoniopsis cheiranthifolia subsp. suffruticosa,camissoniopsis cheiranthifolia,camissoniopsis cheiranthifolia,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,camissonia guadalupensis subsp. clementina,camissoniopsis guadalupensis subsp. clementina,camissoniopsis guadalupensis subsp. clementina,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,camissoniopsis guadalupensis,camissoniopsis guadalupensis subsp. clementina,camissoniopsis guadalupensis subsp. clementina,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,camissoniopsis guadalupensis subsp. clementina,camissoniopsis guadalupensis subsp. clementina,camissoniopsis guadalupensis subsp. clementina,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,oenothera guadalupensis subsp. clementina,camissoniopsis guadalupensis subsp. clementina,camissoniopsis guadalupensis subsp. clementina,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,delphinium parryi,delphinium parryi,delphinium parryi,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,delphinium parryi subsp. maritimum,delphinium parryi subsp. maritimum,delphinium parryi subsp. maritimum,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,delphinium parryi subsp. parryi,delphinium parryi subsp. parryi,delphinium parryi subsp. parryi,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,dudleya blochmaniae,dudleya blochmaniae,dudleya blochmaniae,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,dudleya blochmaniae subsp. blochmaniae,dudleya blochmaniae subsp. blochmaniae,dudleya blochmaniae subsp. blochmaniae,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,dudleya blochmaniae subsp. insularis,dudleya blochmaniae subsp. insularis,dudleya blochmaniae subsp. insularis,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,hasseanthus blochmaniae subsp. insularis,dudleya blochmaniae subsp. insularis,dudleya blochmaniae subsp. insularis,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,dudleya virens,dudleya virens,dudleya virens,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,dudleya hassei,dudleya virens,dudleya virens,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,dudleya virens subsp. hassei,dudleya virens,dudleya virens,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,dudleya virens subsp. insularis,dudleya virens,dudleya virens,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,dudleya virens subsp. virens,dudleya virens,dudleya virens,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,dudleya virens var. virens,dudleya virens,dudleya virens,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,stylophyllum hassei,dudleya virens subsp. hassei,dudleya virens subsp. hassei,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,stylophyllum insulare,dudleya virens subsp. insularis,dudleya virens subsp. insularis,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,stylophyllum virens,dudleya virens subsp. virens,dudleya virens subsp. virens,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,eriogonum giganteum,eriogonum giganteum,eriogonum giganteum,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,eriogonum giganteum subsp. compactum,eriogonum giganteum,eriogonum giganteum,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,eriogonum giganteum var. compactum,eriogonum giganteum,eriogonum giganteum,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,eriogonum giganteum subsp. formosum,eriogonum giganteum,eriogonum giganteum,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,eriogonum giganteum var. formosum,eriogonum giganteum,eriogonum giganteum,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,eriogonum giganteum var. giganteum,eriogonum giganteum,eriogonum giganteum,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,eriogonum grande,eriogonum grande,eriogonum grande,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,eriogonum grande var. grande,eriogonum grande,eriogonum grande,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,eriogonum grande subsp. rubescens,eriogonum grande,eriogonum grande,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,eriogonum grande var. dunklei,eriogonum grande,eriogonum grande,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,eriogonum grande var. rubescens,eriogonum grande,eriogonum grande,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,eriogonum grande subsp. timorum,eriogonum grande,eriogonum grande,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,eriogonum grande var. timorum,eriogonum grande,eriogonum grande,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,galium angustifolium,galium angustifolium,galium angustifolium,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,galium angustifolium subsp. angustifolium,galium angustifolium,galium angustifolium,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,galium angustifolium subsp. foliosum,galium angustifolium,galium angustifolium,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,galium angustifolium var. foliosum,galium angustifolium,galium angustifolium,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,galium catalinense,galium catalinense,galium catalinense,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,galium catalinense subsp. acrispum,galium catalinense,galium catalinense,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,galium catalinense subsp. catalinense,galium catalinense,galium catalinense,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,lyonothamnus floribundus,lyonothamnus floribundus,lyonothamnus floribundus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,lyonothamnus asplenifolius,lyonothamnus floribundus,lyonothamnus floribundus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,lyonothamnus aspleniifolius,lyonothamnus floribundus,lyonothamnus floribundus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,lyonothamnus floribundus f. aspleniifolius,lyonothamnus floribundus,lyonothamnus floribundus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,lyonothamnus floribundus subsp. asplenifolius,lyonothamnus floribundus,lyonothamnus floribundus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,lyonothamnus floribundus subsp. aspleniifolius,lyonothamnus floribundus,lyonothamnus floribundus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,lyonothamnus floribundus var. aspleniifolius,lyonothamnus floribundus,lyonothamnus floribundus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,lyonothamnus floribundus floribundus,lyonothamnus floribundus,lyonothamnus floribundus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,lyonothamnus floribundus subsp. floribundus,lyonothamnus floribundus,lyonothamnus floribundus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,lyonothamnus floribundus var. floribundus,lyonothamnus floribundus,lyonothamnus floribundus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,malacothamnus fasciculatus,malacothamnus fasciculatus,malacothamnus fasciculatus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,malvastrum nesioticum,malacothamnus fasciculatus,malacothamnus fasciculatus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,malvastrum nesioticum subsp. fasciculatus,malacothamnus fasciculatus,malacothamnus fasciculatus,assign subsp by island,assign subsp by island
,,,,,malacothamnus fasciculatus catalinensis,malacothamnus fasciculatus,malacothamnus fasciculatus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,malacothamnus fasciculatus subsp. catalinensis,malacothamnus fasciculatus,malacothamnus fasciculatus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,malacothamnus fasciculatus var. catalinensis,malacothamnus fasciculatus,malacothamnus fasciculatus,assign subsp by island,assign subsp by island
,,,,,malacothamnus fasciculatus var. fasciculatus,malacothamnus fasciculatus,malacothamnus fasciculatus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,malacothamnus fasciculatus var. nesioticus,malacothamnus fasciculatus,malacothamnus fasciculatus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,lavatera assurgentiflora,malva assurgentiflora,malva assurgentiflora,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,lavatera assurgentiflora subsp. assurgentiflora,malva assurgentiflora,malva assurgentiflora,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,lavatera assurgentiflora subsp. glabra,malva assurgentiflora,malva assurgentiflora,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,malva assurgentiflora,malva assurgentiflora,malva assurgentiflora,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,malva assurgentiflora subsp. assurgentiflora,malva assurgentiflora,malva assurgentiflora,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,malva assurgentiflora subsp. glabra,malva assurgentiflora,malva assurgentiflora,assign subsp by island,assign subsp by island
