id,observed_on_string,year,month,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,island,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientificName,common_name,iconic_taxon_name,taxon_id,acceptedOrder,taxon_family_name,acceptedFamily,taxon_genus_name,acceptedGenus,acceptedName,taxon_species_name,taxon_subspecies_name,taxon_variety_name
19199030,Mon Dec 24 2018 10:38:40 GMT-0800 (PST),2018,12,12/24/2018 0:00,2018-12-24 18:38:40 UTC,Pacific Time (US & Canada),266196,shrike2,2018-12-24 19:47:10 UTC,2021-05-03 00:44:46 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/19199030,https://inaturalist-open-data.s3.amazonaws.com/photos/29489562/medium.jpg?1545680934,,,,3,0,FALSE,3,"Los Angeles County, US-CA, US",San Clemente,32.90217309,-118.4718017,10,10,,,FALSE,,,European Earwig,Forficula auricularia,European Earwig,Insecta,61524,Dermaptera,Forficulidae,,Forficula,Forficula,Forficula auricularia,Forficula auricularia,,
19450205,2019/01/05 10:34 AM PST,2019,1,1/5/2019 0:00,2019-01-05 18:34:00 UTC,Pacific Time (US & Canada),266196,shrike2,2019-01-05 22:00:02 UTC,2021-05-03 00:44:38 UTC,needs_id,CC-BY-NC-ND,https://www.inaturalist.org/observations/19450205,https://inaturalist-open-data.s3.amazonaws.com/photos/29923381/medium.jpg?1546725115,,,,3,0,FALSE,,"Los Angeles, California, United States",San Clemente,32.90245278,-118.4709333,,,,,FALSE,,,Earwigs,Dermaptera,Earwigs,Insecta,47793,Dermaptera,,,,,,,,
21810199,2019/03/25 7:27 AM PDT,2019,3,3/25/2019 0:00,2019-03-25 14:27:00 UTC,Pacific Time (US & Canada),12809,cedric_lee,2019-03-31 02:10:16 UTC,2021-01-16 23:51:49 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/21810199,https://inaturalist-open-data.s3.amazonaws.com/photos/33776270/medium.jpeg?1553990717,,,,1,0,FALSE,,"Los Angeles County, CA, USA",San Clemente,32.87920242,-118.4394284,8,8,,,FALSE,,,European Earwig,Forficula auricularia,European Earwig,Insecta,61524,Dermaptera,Forficulidae,,Forficula,Forficula,Forficula auricularia,Forficula auricularia,,
21907540,2019/03/27 2:28 PM PDT,2019,3,3/27/2019 0:00,2019-03-27 21:28:00 UTC,Pacific Time (US & Canada),12809,cedric_lee,2019-04-02 13:39:40 UTC,2021-01-16 23:51:54 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/21907540,https://inaturalist-open-data.s3.amazonaws.com/photos/33937049/medium.jpeg?1554185678,,,,1,0,FALSE,,"Los Angeles, California, United States",San Clemente,32.86861111,-118.4963889,,,,,FALSE,,,European Earwig,Forficula auricularia,European Earwig,Insecta,61524,Dermaptera,Forficulidae,Forficulidae,Forficula,Forficula,Forficula auricularia,Forficula auricularia,,
23146988,Fri Apr 26 2019 08:22:05 GMT-0700 (PDT),2019,4,4/26/2019 0:00,2019-04-26 15:22:05 UTC,Pacific Time (US & Canada),688240,empid,2019-04-26 15:22:39 UTC,2021-05-03 00:43:39 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23146988,https://inaturalist-open-data.s3.amazonaws.com/photos/35877952/medium.jpg?1556292163,,,,2,0,FALSE,3,"San Clemente Island Underwater Range, , CA, US",San Clemente,32.88117047,-118.4450483,5,5,,,FALSE,,,European Earwig,Forficula auricularia,European Earwig,Insecta,61524,Dermaptera,Forficulidae,Forficulidae,Forficula,Forficula,Forficula auricularia,Forficula auricularia,,
23190160,Fri Apr 26 2019 08:21:22 GMT-0700 (PDT),2019,4,4/26/2019 0:00,2019-04-26 15:21:22 UTC,Pacific Time (US & Canada),213838,vireolanius,2019-04-26 18:38:35 UTC,2021-05-03 00:43:34 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23190160,https://inaturalist-open-data.s3.amazonaws.com/photos/35938169/medium.jpg?1556303920,,,,3,0,FALSE,3,"Los Angeles County, US-CA, US",San Clemente,32.88105426,-118.4448432,5,5,,,FALSE,,,European Earwig,Forficula auricularia,European Earwig,Insecta,61524,Dermaptera,Forficulidae,Forficulidae,Forficula,Forficula,Forficula auricularia,Forficula auricularia,,
24084544,Mon Apr 29 2019 16:20:07 GMT-0700 (PDT),2019,4,4/29/2019 0:00,2019-04-29 23:20:07 UTC,Pacific Time (US & Canada),266196,shrike2,2019-04-30 00:43:43 UTC,2021-05-03 00:43:14 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/24084544,https://static.inaturalist.org/photos/37248753/medium.jpg?1556585364,,,,3,0,FALSE,3,"San Clemente Island Underwater Range, , CA, US",San Clemente,33.00218416,-118.5561389,10,10,,,FALSE,,,European Earwig,Forficula auricularia,European Earwig,Insecta,61524,Dermaptera,Forficulidae,Forficulidae,Forficula,Forficula,Forficula auricularia,Forficula auricularia,,
37465632,Fri Jan 10 2020 08:32:33 GMT-0800 (PST),2020,1,1/10/2020 0:00,2020-01-10 16:32:33 UTC,Pacific Time (US & Canada),266196,shrike2,2020-01-10 21:22:26 UTC,2020-01-12 05:52:28 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/37465632,https://static.inaturalist.org/photos/59398164/medium.jpg?1578691360,,,,1,0,FALSE,3,"Los Angeles County, US-CA, US",San Clemente,32.94418667,-118.52877,10,10,,,FALSE,,,European Earwig,Forficula auricularia,European Earwig,Insecta,61524,Dermaptera,Forficulidae,Forficulidae,Forficula,Forficula,Forficula auricularia,Forficula auricularia,,
37630766,Wed Jan 15 2020 13:40:00 GMT-0800 (PST),2020,1,1/15/2020 0:00,2020-01-15 21:40:00 UTC,Pacific Time (US & Canada),266196,shrike2,2020-01-15 23:10:52 UTC,2021-05-02 23:38:12 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/37630766,https://static.inaturalist.org/photos/59690938/medium.jpg?1579129904,,,,2,0,FALSE,3,"San Clemente Island Underwater Range, CA, US",San Clemente,32.99943,-118.5542533,5,5,,,FALSE,,,Ring-legged Earwig,Euborellia annulipes,Ring-legged Earwig,Insecta,196419,Dermaptera,Anisolabididae,Anisolabididae,Euborellia,Euborellia,Euborellia annulipes,Euborellia annulipes,,
41740967,2019/06/21 10:24 AM PDT,2021,6,6/21/2019 0:00,2019-06-21 17:24:00 UTC,Pacific Time (US & Canada),173183,serpophaga,2020-04-09 04:33:32 UTC,2020-12-10 20:08:53 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/41740967,https://inaturalist-open-data.s3.amazonaws.com/photos/66224001/medium.jpeg?1586406421,,,,1,0,FALSE,,"Los Angeles, California, United States",San Clemente,32.99588056,-118.5516528,5,5,,,FALSE,,,European Earwig,Forficula auricularia,European Earwig,Insecta,61524,Dermaptera,Forficulidae,Forficulidae,Forficula,Forficula,Forficula auricularia,Forficula auricularia,,
56568631,Sat Aug 15 2020 12:47:40 GMT-0700 (PDT),2020,8,8/15/2020 0:00,2020-08-15 19:47:40 UTC,Pacific Time (US & Canada),213838,vireolanius,2020-08-15 22:17:37 UTC,2021-05-03 00:34:27 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/56568631,https://inaturalist-open-data.s3.amazonaws.com/photos/90156379/medium.jpg?1597529862,,,,1,0,FALSE,3,"San Clemente Island Underwater Range, CA, US",San Clemente,32.996875,-118.556595,17,17,,,FALSE,,,Euborellia,Euborellia,,Insecta,196421,Dermaptera,Anisolabididae,Anisolabididae,Euborellia,Euborellia,,,,
67415577,2021/01/01 11:36 AM PST,2021,1,1/1/2021 0:00,2021-01-01 19:36:00 UTC,Pacific Time (US & Canada),23091,sue_meiman,2021-01-01 20:12:41 UTC,2021-05-03 00:33:35 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/67415577,https://inaturalist-open-data.s3.amazonaws.com/photos/108914820/medium.jpg?1609531593,,,,1,0,FALSE,,"Los Angeles County, CA, USA",San Clemente,33.01433133,-118.591232,17,17,,,FALSE,,,European Earwig,Forficula auricularia,European Earwig,Insecta,61524,Dermaptera,Forficulidae,Forficulidae,Forficula,Forficula,Forficula auricularia,Forficula auricularia,,
76719438,Sun May 02 2021 14:09:36 GMT-0700 (PDT),2021,5,5/2/2021 0:00,2021-05-02 21:09:36 UTC,Pacific Time (US & Canada),266196,shrike2,2021-05-02 22:14:54 UTC,2021-05-03 00:33:34 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/76719438,https://inaturalist-open-data.s3.amazonaws.com/photos/125477084/medium.jpg?1619993699,,,,1,0,FALSE,3,"San Clemente Island Underwater Range, CA, US",San Clemente,32.995595,-118.5513217,4,4,,,FALSE,,,European Earwig,Forficula auricularia,European Earwig,Insecta,61524,Dermaptera,Forficulidae,Forficulidae,Forficula,Forficula,Forficula auricularia,Forficula auricularia,,
26984986,2019-06-12 1:44:37 PM PDT,2019,6,6/12/2019 0:00,2019-06-12 20:44:37 UTC,Pacific Time (US & Canada),34488,pileated,2019-06-14 21:01:31 UTC,2021-02-11 03:18:10 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/26984986,https://inaturalist-open-data.s3.amazonaws.com/photos/41939197/medium.jpg?1560546096,,,,0,0,FALSE,2,"San Nicolas Island, California 93042, USA",San Nicolas,33.26055908,-119.5527191,,,,,FALSE,gps,gps,European Earwig,Forficula auricularia,European Earwig,Insecta,61524,Dermaptera,Forficulidae,Forficulidae,Forficula,Forficula,Forficula auricularia,Forficula auricularia,,
38578938,Tue Feb 11 2020 07:19:11 GMT-0800 (PST),2020,2,2/11/2020 0:00,2020-02-11 15:19:11 UTC,Pacific Time (US & Canada),19715,gbentall,2020-02-12 19:41:12 UTC,2021-08-06 04:34:33 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/38578938,https://inaturalist-open-data.s3.amazonaws.com/photos/61332688/medium.jpg?1581536478,,,Found under old plywood ,1,0,FALSE,3,"Pacific Ocean, CA, US",San Nicolas,33.28589564,-119.5081323,9135,9135,,,FALSE,,,Earwigs,Forficula auricularia,European Earwig,Insecta,61524,Dermaptera,Forficulidae,Forficulidae,Forficula,Forficula,Forficula auricularia,Forficula auricularia,,
9676399,2018-01-30 8:45:27 AM PST,2018,1,1/30/2018 0:00,2018-01-30 16:45:27 UTC,Pacific Time (US & Canada),392423,bjdion,2018-01-31 02:57:06 UTC,2021-05-03 00:45:32 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/9676399,https://inaturalist-open-data.s3.amazonaws.com/photos/13235464/medium.jpeg?1517425059,,,,2,0,FALSE,2,"Los Angeles County, US-CA, US",Santa Catalina,33.34846795,-118.4261958,9,9,,,FALSE,,,Common Earwig,Forficula auricularia,European Earwig,Insecta,61524,Dermaptera,Forficulidae,Forficulidae,Forficula,Forficula,Forficula auricularia,Forficula auricularia,,
10242917,Wed Mar 14 2018 17:07:11 GMT-0700 (PDT),2018,3,3/14/2018 0:00,2018-03-15 00:07:11 UTC,Pacific Time (US & Canada),819,rebeccafay,2018-03-15 06:23:19 UTC,2021-05-03 00:45:14 UTC,needs_id,CC0,https://www.inaturalist.org/observations/10242917,https://inaturalist-open-data.s3.amazonaws.com/photos/14165318/medium.jpg?1521095016,,,Maybe?,1,0,FALSE,3,"Santa Catalina Island, , CA, US",Santa Catalina,33.44623667,-118.4808583,5,5,,,FALSE,,,Earwigs,Dermaptera,Earwigs,Insecta,47793,Dermaptera,,,,,,,,
12004756,2018/04/29 9:12 AM PDT,2018,4,4/29/2018 0:00,2018-04-29 16:12:00 UTC,Pacific Time (US & Canada),6971,silversea_starsong,2018-05-01 19:26:07 UTC,2021-05-03 00:44:57 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/12004756,https://inaturalist-open-data.s3.amazonaws.com/photos/17200600/medium.jpeg?1525202318,,,,2,0,FALSE,,"Los Angeles County, CA, USA",Santa Catalina,33.39083167,-118.3963983,,,,,FALSE,,,Common Earwig,Forficula auricularia,European Earwig,Insecta,61524,Dermaptera,Forficulidae,Forficulidae,Forficula,Forficula,Forficula auricularia,Forficula auricularia,,
22444346,Sat Apr 13 2019 18:28:04 GMT-0700 (MST),2019,4,4/13/2019 0:00,2019-04-14 00:28:04 UTC,Mountain Time (US & Canada),1599946,kadenduff,2019-04-14 01:30:07 UTC,2021-05-03 00:43:47 UTC,research,,https://www.inaturalist.org/observations/22444346,https://static.inaturalist.org/photos/34764720/medium.jpg?1555205408,,,,2,0,FALSE,3,"Santa Catalina Island, , CA, US",Santa Catalina,33.39377406,-118.4018727,2863,2863,,,FALSE,,,European Earwig,Forficula auricularia,European Earwig,Insecta,61524,Dermaptera,Forficulidae,Forficulidae,Forficula,Forficula,Forficula auricularia,Forficula auricularia,,
24073251,Mon Apr 29 2019 17:05:17 GMT-0700 (PDT),2019,4,4/29/2019 0:00,2019-04-30 00:05:17 UTC,Pacific Time (US & Canada),1512775,parisrebl,2019-04-30 00:06:23 UTC,2021-05-03 00:43:29 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/24073251,https://inaturalist-open-data.s3.amazonaws.com/photos/37230343/medium.jpg?1556582819,,,,1,0,FALSE,3,"Avalon Cayon Rd, Avalon, CA, US",Santa Catalina,33.33012444,-118.3371222,10,10,,,FALSE,,,European Earwig,Forficula auricularia,European Earwig,Insecta,61524,Dermaptera,Forficulidae,Forficulidae,Forficula,Forficula,Forficula auricularia,Forficula auricularia,,
24443607,Fri May 03 2019 08:06:11 GMT-0700 (PDT),2019,5,5/3/2019 0:00,2019-05-03 15:06:11 UTC,Pacific Time (US & Canada),1512775,parisrebl,2019-05-03 15:06:14 UTC,2021-05-03 00:43:06 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/24443607,https://inaturalist-open-data.s3.amazonaws.com/photos/37829932/medium.jpg?1556916766,,,,3,0,FALSE,3,"Santa Catalina Island, , CA, US",Santa Catalina,33.40651426,-118.4148871,10,10,,,FALSE,,,Earwigs,Dermaptera,Earwigs,Insecta,47793,Dermaptera,,,,,,,,
25651735,2019-05-15 7:17:44 AM CDT,2019,5,5/15/2019 0:00,2019-05-15 07:17:44 UTC,UTC,1438512,asmith98,2019-05-24 01:34:44 UTC,2021-05-03 00:42:30 UTC,needs_id,,https://www.inaturalist.org/observations/25651735,https://static.inaturalist.org/photos/39756061/medium.jpeg?1558661687,,,,0,0,FALSE,2,"Santa Catalina Island, California 90704, USA",Santa Catalina,33.40613812,-118.3767163,263,263,,,FALSE,gps,gps,Earwigs,Euborellia annulipes,Ring-legged Earwig,Insecta,196419,Dermaptera,Anisolabididae,Anisolabididae,Euborellia,Euborellia,Euborellia annulipes,Euborellia annulipes,,
37701344,Fri Jan 17 2020 20:14:59 GMT-0800 (PST),2020,1,1/17/2020 0:00,2020-01-17 20:14:59 UTC,UTC,2050819,hue166,2020-01-18 05:42:17 UTC,2021-08-06 19:44:44 UTC,needs_id,,https://www.inaturalist.org/observations/37701344,https://static.inaturalist.org/photos/59821728/medium.jpg?1579326160,,,,3,0,FALSE,3,"Santa Catalina Island, Avalon, CA, US",Santa Catalina,33.34049667,-118.332655,165,165,,,FALSE,,,Epidermapteran Earwigs,Epidermaptera,Epidermapteran Earwigs,Insecta,713335,Dermaptera,,,,,,,,
6341488,2017/05/18 1:34 PM PDT,2017,5,5/18/2017 0:00,2017-05-18 20:34:00 UTC,Pacific Time (US & Canada),6971,silversea_starsong,2017-05-24 03:59:00 UTC,2021-05-03 00:26:25 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6341488,https://inaturalist-open-data.s3.amazonaws.com/photos/7992066/medium.jpeg?1495598285,,,,3,0,FALSE,,"Santa Cruz Island Reserve, Channel Islands National Park, Channel Islands, Santa Barbara, UC Natural Reserve System, California, United States",Santa Cruz,33.99474833,-119.717965,,,,,FALSE,,,Common Earwig,Forficula auricularia,European Earwig,Insecta,61524,Dermaptera,Forficulidae,Forficulidae,Forficula,Forficula,Forficula auricularia,Forficula auricularia,,
6381917,2017/05/18 10:52 PM PDT,2017,5,5/18/2017 0:00,2017-05-19 05:52:00 UTC,Pacific Time (US & Canada),6971,silversea_starsong,2017-05-27 17:48:58 UTC,2021-05-03 00:26:14 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6381917,https://inaturalist-open-data.s3.amazonaws.com/photos/8054713/medium.jpeg?1495902925,,,,4,0,FALSE,,"Santa Barbara County, CA, USA",Santa Cruz,34.02182645,-119.8705977,15,15,,,FALSE,,,Common Earwig,Forficula auricularia,European Earwig,Insecta,61524,Dermaptera,Forficulidae,Forficulidae,Forficula,Forficula,Forficula auricularia,Forficula auricularia,,
6435790,2017/05/19 4:22 PM PDT,2017,5,5/19/2017 0:00,2017-05-19 23:22:00 UTC,Pacific Time (US & Canada),6971,silversea_starsong,2017-05-30 22:00:44 UTC,2021-05-03 00:23:09 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6435790,https://inaturalist-open-data.s3.amazonaws.com/photos/8128611/medium.jpeg?1496181499,,,,3,0,FALSE,,"Santa Barbara County, CA, USA",Santa Cruz,34.06269333,-119.917025,,,,,FALSE,,,Common Earwig,Forficula auricularia,European Earwig,Insecta,61524,Dermaptera,Forficulidae,Forficulidae,Forficula,Forficula,Forficula auricularia,Forficula auricularia,,
21138280,Sun Mar 10 2019 10:42:07 GMT-0700 (PDT),2019,3,3/10/2019 0:00,2019-03-10 17:42:07 UTC,Pacific Time (US & Canada),805798,rayquazasaur,2019-03-11 05:14:18 UTC,2021-05-03 00:22:14 UTC,needs_id,,https://www.inaturalist.org/observations/21138280,https://static.inaturalist.org/photos/32675023/medium.jpg?1552281270,,,,1,0,FALSE,3,"Channel Islands National Park, , CA, US",Santa Cruz,34.0497555,-119.556555,5,5,,,FALSE,,,European Earwig,Forficula auricularia,European Earwig,Insecta,61524,Dermaptera,Forficulidae,Forficulidae,Forficula,Forficula,Forficula auricularia,Forficula auricularia,,
21138442,Sun Mar 10 2019 11:06:11 GMT-0700 (PDT),2019,3,3/10/2019 0:00,2019-03-10 18:06:11 UTC,Pacific Time (US & Canada),805798,rayquazasaur,2019-03-11 05:21:27 UTC,2021-08-06 04:32:17 UTC,needs_id,,https://www.inaturalist.org/observations/21138442,https://static.inaturalist.org/photos/32675333/medium.jpg?1552281691,,,,1,0,FALSE,3,"Channel Islands National Park, , CA, US",Santa Cruz,34.04760283,-119.5543883,5,5,,,FALSE,,,European Earwig,Forficula auricularia,European Earwig,Insecta,61524,Dermaptera,Forficulidae,Forficulidae,Forficula,Forficula,Forficula auricularia,Forficula auricularia,,
38208992,2020-01-26 11:06:43 AM PST,2020,1,1/26/2020 0:00,2020-01-26 19:06:43 UTC,Pacific Time (US & Canada),34488,pileated,2020-02-02 05:37:42 UTC,2020-04-06 17:36:51 UTC,research,CC-BY,https://www.inaturalist.org/observations/38208992,https://inaturalist-open-data.s3.amazonaws.com/photos/60692463/medium.jpeg?1580621865,,,,2,0,FALSE,2,"Santa Cruz Island, California 93001, USA",Santa Cruz,34.01908493,-119.6846848,,,,,FALSE,gps,gps,European Earwig,Forficula auricularia,European Earwig,Insecta,61524,Dermaptera,Forficulidae,Forficulidae,Forficula,Forficula,Forficula auricularia,Forficula auricularia,,
70364662,2019/04/13 1:52 PM PDT,2019,4,4/13/2019 0:00,2019-04-13 20:52:00 UTC,Pacific Time (US & Canada),6971,silversea_starsong,2021-03-01 01:44:45 UTC,2021-05-03 00:23:55 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/70364662,https://inaturalist-open-data.s3.amazonaws.com/photos/114373378/medium.jpeg?1614562463,,,,1,0,FALSE,,"Santa Cruz Island Reserve, Channel Islands National Park, Channel Islands, Santa Barbara, UC Natural Reserve System, California, United States",Santa Cruz,33.99562167,-119.716705,,,,,FALSE,,,European Earwig,Forficula auricularia,European Earwig,Insecta,61524,Dermaptera,Forficulidae,Forficulidae,Forficula,Forficula,Forficula auricularia,Forficula auricularia,,
71933125,2021/03/21 3:00 PM PDT,2021,3,3/21/2021 0:00,2021-03-21 22:00:00 UTC,Pacific Time (US & Canada),3494,damontighe,2021-03-24 07:55:48 UTC,2021-05-03 00:24:01 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/71933125,https://inaturalist-open-data.s3.amazonaws.com/photos/117191401/medium.jpeg?1616566755,,,,1,0,FALSE,,"Santa Barbara County, CA, USA",Santa Cruz,34.03278333,-119.5941306,4,4,,,FALSE,,,European Earwig,Forficula auricularia,European Earwig,Insecta,61524,Dermaptera,Forficulidae,Forficulidae,Forficula,Forficula,Forficula auricularia,Forficula auricularia,,
81501534,Wed Jun 02 2021 13:05:54 GMT-0700 (PDT),2021,6,6/2/2021 0:00,2021-06-02 20:05:54 UTC,Pacific Time (US & Canada),543930,dunebug,2021-06-04 00:00:07 UTC,2021-06-22 23:51:40 UTC,needs_id,,https://www.inaturalist.org/observations/81501534,https://static.inaturalist.org/photos/133689341/medium.jpg?1622764812,,,,1,0,FALSE,3,"San Miguel Island, Channel Islands National Park, Channel Islands, Santa Barbara County, US-CA, US",San Miguel,34.03410012,-120.4406728,5,5,,,FALSE,,,European Earwig,Forficula auricularia,European Earwig,Insecta,61524,Dermaptera,Forficulidae,Forficulidae,Forficula,Forficula,Forficula auricularia,Forficula auricularia,,
3651122,2016/07/07 4:17 PM PDT,2016,7,7/7/2016 0:00,2016-07-07 23:17:00 UTC,Pacific Time (US & Canada),235118,terrydad2,2016-07-10 00:48:18 UTC,2021-05-03 00:23:30 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3651122,https://inaturalist-open-data.s3.amazonaws.com/photos/4224286/medium.JPG?1468111218,,,,2,0,FALSE,,"Channel Islands National Park, Channel Islands, Santa Barbara, California, United States",Santa Rosa,33.98248504,-120.0188897,,,,,FALSE,,,European Earwig,Forficula auricularia,European Earwig,Insecta,61524,Dermaptera,Forficulidae,Forficulidae,Forficula,Forficula,Forficula auricularia,Forficula auricularia,,
25404572,2019/05/12 2:12 PM PDT,2019,5,5/12/2019 0:00,2019-05-12 21:12:00 UTC,Pacific Time (US & Canada),6971,silversea_starsong,2019-05-19 20:54:47 UTC,2021-05-03 00:25:19 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/25404572,https://inaturalist-open-data.s3.amazonaws.com/photos/39339949/medium.jpeg?1558299005,,,,2,0,FALSE,,"Santa Barbara County, CA, USA",Santa Rosa,34.00791406,-120.0485778,,,,,FALSE,,,European Earwig,Forficula auricularia,European Earwig,Insecta,61524,Dermaptera,Forficulidae,Forficulidae,Forficula,Forficula,Forficula auricularia,Forficula auricularia,,
89112969,Wed Jul 28 2021 13:54:50 GMT-0700 (PDT),2021,7,7/28/2021 0:00,2021-07-28 20:54:50 UTC,Pacific Time (US & Canada),481431,megakylie,2021-07-29 21:04:09 UTC,2021-07-29 21:04:28 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/89112969,https://inaturalist-open-data.s3.amazonaws.com/photos/147118726/medium.jpg?1627592664,,,,0,0,FALSE,3,"Channel Islands National Park, CA, US",Santa Rosa,33.94518333,-120.1162112,13,13,,,FALSE,,,,Forficula auricularia,European Earwig,Insecta,61524,Dermaptera,Forficulidae,Forficulidae,Forficula,Forficula,Forficula auricularia,Forficula auricularia,,
62268750,Sat Oct 10 2020 12:27:04 GMT-0700 (PDT),2020,10,10/10/2020 0:00,2020-10-10 19:27:04 UTC,Pacific Time (US & Canada),173183,serpophaga,2020-10-11 04:07:43 UTC,2021-05-03 00:23:50 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/62268750,https://inaturalist-open-data.s3.amazonaws.com/photos/99747231/medium.jpg?1602389268,,,Found in dead leaf clusters on Malva,2,0,FALSE,3,"Channel Islands National Park, CA, US",Anacapa,34.01576667,-119.36245,5,5,,,FALSE,,,European Earwig,Forficula auricularia,European Earwig,Insecta,61524,Dermaptera,Forficulidae,Forficulidae,Forficula,Forficula,Forficula auricularia,Forficula auricularia,,
62272152,Sat Oct 10 2020 21:18:10 GMT-0700 (PDT),2020,10,10/10/2020 0:00,2020-10-11 04:18:10 UTC,Pacific Time (US & Canada),173183,serpophaga,2020-10-11 05:21:32 UTC,2021-05-03 00:25:06 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/62272152,https://inaturalist-open-data.s3.amazonaws.com/photos/99753874/medium.jpg?1602393696,,,,2,0,FALSE,3,"Channel Islands National Park, CA, US",Anacapa,34.01604167,-119.363245,5,5,,,FALSE,,,European Earwig,Forficula auricularia,European Earwig,Insecta,61524,Dermaptera,Forficulidae,Forficulidae,Forficula,Forficula,Forficula auricularia,Forficula auricularia,,
